node1,node2,label
29237,16563,1
32869,24548,0
48837,17831,1
31387,44509,0
15102,10271,1
33467,34453,0
39088,44429,0
40039,42868,1
25082,5512,1
35080,14797,1
35252,45275,0
13327,43549,0
41960,36643,0
51866,41260,1
39148,46089,0
42030,37730,1
18924,38036,1
28025,44153,0
37640,39116,0
44046,27199,0
34753,36989,1
40803,29569,1
24865,1146,0
47073,24999,0
33195,40254,0
16568,46657,1
34080,8105,0
39286,10310,0
4489,31034,0
37854,22360,1
2266,41247,0
9595,19947,0
52369,18002,1
51226,21898,1
30242,29346,1
49159,34858,0
47728,26473,0
16026,18423,0
37577,41724,0
4758,51111,1
9968,18857,0
101,13898,1
43678,25205,1
45807,43546,1
10372,18359,0
15112,23050,0
40180,49735,0
51748,9686,0
34367,39451,1
15624,47708,0
35994,46439,0
34538,23348,1
13008,10291,0
34891,49073,0
326,3465,0
36544,31517,0
33400,7420,1
30894,34770,1
47492,32137,1
27139,51950,0
1504,48560,1
14862,43633,1
36950,25031,0
2106,17160,0
13659,12939,0
13965,25351,0
5800,23189,1
12929,48196,0
1189,35245,0
24570,45056,0
24218,26869,1
30034,19020,0
31279,2429,0
13387,46304,1
967,49618,0
389,6524,1
11605,11608,0
2983,2146,0
29963,15549,0
35664,18233,0
48210,47006,0
48764,9479,0
9263,46562,0
47185,24873,0
34535,51941,0
29961,37957,0
44101,43324,0
14522,20228,1
25688,32772,1
31434,31454,0
47125,48535,1
37783,5611,0
38219,40092,0
25976,16504,1
48276,15393,0
29832,43717,0
33482,45644,0
24813,11914,1
12180,30000,1
744,49219,1
32884,43847,0
43469,39803,0
41976,37136,0
44920,48964,0
19769,25559,1
47731,45548,1
49446,45444,1
39796,18114,1
51131,7042,0
16971,6057,0
23558,39434,0
8230,12804,1
22734,1246,0
36077,38548,0
47665,8752,0
12866,30811,0
4286,19990,1
41458,4423,1
15289,40852,1
22582,24020,0
25691,33627,0
4669,28611,1
4110,15604,0
32696,7457,1
1274,20522,0
50775,30168,1
9979,9711,0
15853,25891,1
20728,4828,1
30522,33415,0
7186,42283,0
8846,806,0
40842,43629,1
9437,4698,0
44410,34640,0
33129,7649,1
3288,2567,0
29570,37755,1
10176,19979,0
27807,15082,0
7391,47283,1
36231,11619,0
5131,16650,0
26818,36946,1
39297,619,1
